Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13, C21, C23, C29, C35, C41, C7",0402,9,2u2,
"C10, C20, C44, C45, C46, C47, C6",0603,7,22u,
"C12, C22, C8",0402,3,220n,
"C14, C24, C30, C36",0402,4,470n,
"C15, C16, C19, C2, C25, C26, C3, C31, C32, C37, C38, C4, C42, C43, C5, C9",0402,16,100n,
"C17, C18, C27, C28, C33, C34, C39, C40",0402,8,10n,
D1,0603,1,Orange,
"D2, D3",0603,2,GREEN,
JP9,Diff_pair_solderbridge_closed,1,~,
"L1, L2",0603,2,"600R 1.5A, 0.1R",
"Q1, Q2",SOT-23,2,BC847,
"R1, R12, R13",0402,3,200R,
"R10, R4, R5",0402,3,4K7,
"R11, R18, R19, R2, R20, R21, R22, R23, R24, R27, R31, R36, R41, R6, R7, R8, R9",0402,17,10K,
R14,Diff_pair_solderbridge_closed,1,100R,
R15,0402,1,1R 1%,
"R16, R17",0402,2,DNS,
R25,0402,1,100R,
"R26, R37",0402,2,1K,
R28,0402,1,20K 1%,
R29,0402,1,100K 1%,
R3,0402,1,33R,
R30,0402,1,51K 1%,
R32,0402,1,240K 1%,
R33,0402,1,47K 1%,
R34,0402,1,120K 1%,
R35,0402,1,62K 1%,
R38,0402,1,200K 1%,
R39,0402,1,12K,
R40,0402,1,63K4 1%,
TP21,TestPoint_Pad_D1.0mm,1,Vcore,
TP22,TestPoint_Pad_D1.0mm,1,PG,
U1,BGA-324_15.0x15.0mm_Layout18x18_P0.8mm_Ball0.45mm_Pad0.4mm_NSMD,1,CCGM1A1,
U2,SOP-8(150_200MIL),1,MX25V8035F,
U3,DCU8,1,74LVC2G53,
"U4, U5",QFN18,2,MPM3833C,
X1,5x3.2_Oscillator,1,ECS-5032MV,
