Designator,Mid X,Mid Y,Rotation,Layer
C1,10.214723,19.316338,270.0,bottom
C10,37.76,24.88,315.0,bottom
C11,42.0868,26.4668,135.0,bottom
C12,40.16,25.87,135.0,bottom
C13,37.95,33.72,135.0,bottom
C14,38.77,31.25,225.0,bottom
C15,42.06,35.87,45.0,bottom
C16,39.23,35.0,315.0,bottom
C17,41.8,37.56,135.0,bottom
C18,40.52,36.28,135.0,bottom
C19,45.05,34.64,45.0,bottom
C2,11.738723,19.311338,270.0,bottom
C20,41.43,19.64,315.0,bottom
C21,41.25,23.21,135.0,bottom
C22,41.93,22.56,135.0,bottom
C23,43.74,33.33,225.0,bottom
C24,42.44,32.03,225.0,bottom
C25,43.09,32.68,45.0,bottom
C26,41.79,31.38,225.0,bottom
C27,39.43,33.24,225.0,bottom
C28,43.36,37.16,45.0,bottom
C29,42.81,34.33,135.0,bottom
C3,56.31,13.84,315.0,top
C30,41.52,33.04,315.0,bottom
C31,38.78,32.59,45.0,bottom
C32,40.24,31.76,135.0,bottom
C33,44.42,32.08,315.0,bottom
C34,43.14,30.8,315.0,bottom
C35,45.78,33.39,135.0,bottom
C36,41.41,35.22,225.0,bottom
C37,41.84,30.04,45.0,bottom
C38,43.53,35.69,225.0,bottom
C39,40.08,33.89,45.0,bottom
C4,38.22,23.66,225.0,top
C40,44.39,33.98,45.0,bottom
C41,31.81,36.44,225.0,bottom
C42,31.16,35.79,225.0,bottom
C43,30.5,35.13,225.0,bottom
C44,10.494,20.895,0.0,top
C45,10.771,26.627,0.0,top
C46,14.496,34.430415,270.0,bottom
C47,8.781,34.303415,270.0,bottom
C5,40.74,34.55,225.0,bottom
C6,44.04,23.83,315.0,bottom
C7,43.22,24.69,315.0,bottom
C8,42.46,25.46,315.0,bottom
C9,39.47,36.53,135.0,bottom
D1,14.0335,47.35,180.0,top
D2,6.45,47.35,180.0,top
D3,10.325,47.35,0.0,top
JP8,33.55,34.45,45.0,bottom
JP9,38.227,17.907,135.0,top
L1,38.82,23.82,135.0,bottom
L2,40.4,20.67,135.0,bottom
LOG1,21.764848,37.129744,0.0,top
Q1,9.175,30.375,0.0,top
Q2,9.5849,39.0241,270.0,bottom
R1,13.2715,45.572,90.0,top
R10,28.35,34.45,0.0,bottom
R11,32.34,33.64,315.0,bottom
R12,38.05,27.7,45.0,bottom
R15,44.96,23.05,135.0,bottom
R18,32.5,44.35,315.0,bottom
R19,33.4,43.45,315.0,bottom
R2,41.47,27.16,315.0,bottom
R20,34.3,42.55,315.0,bottom
R21,29.8,43.45,315.0,bottom
R22,30.43,37.03,315.0,bottom
R24,27.9,39.7,315.0,bottom
R25,35.9,25.575,315.0,top
R26,5.7005,45.5735,90.0,top
R27,9.59,28.01,0.0,top
R28,13.565,23.325,270.0,top
R29,8.5,22.475,90.0,bottom
R3,55.0,15.15,135.0,top
R30,14.146,24.462,180.0,bottom
R31,12.967342,19.662498,270.0,bottom
R32,15.429105,23.333466,90.0,top
R33,14.497851,23.333466,90.0,top
R34,14.148263,16.404248,90.0,top
R35,13.216434,16.404248,90.0,top
R36,13.939468,19.662498,90.0,bottom
R37,11.0995,45.5735,90.0,top
R38,11.939,30.747415,0.0,bottom
R39,12.842434,38.00972,0.0,bottom
R4,28.375,33.45,180.0,bottom
R40,12.78,31.74,0.0,bottom
R41,12.207434,37.063168,0.0,bottom
R5,31.675,34.3,315.0,bottom
R6,30.65,30.14,180.0,top
R7,30.65,31.08,180.0,top
R8,30.65,29.2,180.0,top
R9,30.65,28.26,180.0,top
U1,41.762378,33.588413,315.0,top
U2,35.705276,37.790938,45.0,top
U3,13.692,19.769,270.0,top
U4,10.771,24.087,180.0,top
U5,11.35,34.028415,90.0,bottom
X1,53.7,11.8,45.0,top
